id,left,top,right,bottom,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4
"1",27.646003343,43.210982027,27.647003343,43.211482027,,,,
"2",27.646003343,43.210482027,27.647003343,43.210982027,,,,
"3",27.646003343,43.209982027,27.647003343,43.210482027,,,,
"4",27.646003343,43.209482027,27.647003343,43.209982027,,,,
"5",27.646003343,43.208982027,27.647003343,43.209482027,,,,
"6",27.646003343,43.208482027,27.647003343,43.208982027,,,,
"7",27.646003343,43.207982027,27.647003343,43.208482027,,,,
"8",27.646003343,43.207482027,27.647003343,43.207982027,,,,
"9",27.646003343,43.206982027,27.647003343,43.207482027,,,,
"10",27.646003343,43.206482027,27.647003343,43.206982027,,,,
"11",27.646003343,43.205982027,27.647003343,43.206482027,,,,
"12",27.646003343,43.205482027,27.647003343,43.205982027,,,,
"13",27.646003343,43.204982027,27.647003343,43.205482027,,,,
"14",27.646003343,43.204482027,27.647003343,43.204982027,,,,
"15",27.646003343,43.203982027,27.647003343,43.204482027,,,,
"16",27.646003343,43.203482027,27.647003343,43.203982027,,,,
"17",27.646003343,43.202982027,27.647003343,43.203482027,,,,
"18",27.646003343,43.202482027,27.647003343,43.202982027,,,,
"19",27.646003343,43.201982027,27.647003343,43.202482027,,,,
"20",27.646003343,43.201482027,27.647003343,43.201982027,,,,
"21",27.646003343,43.200982027,27.647003343,43.201482027,,,,
"22",27.646003343,43.200482027,27.647003343,43.200982027,,,,
"23",27.646003343,43.199982027,27.647003343,43.200482027,,,,
"24",27.646003343,43.199482027,27.647003343,43.199982027,,,,
"25",27.646003343,43.198982027,27.647003343,43.199482027,,,,
"26",27.646003343,43.198482027,27.647003343,43.198982027,,,,
"27",27.646003343,43.197982027,27.647003343,43.198482027,,,,
"28",27.646003343,43.197482027,27.647003343,43.197982027,,,,
"29",27.646003343,43.196982027,27.647003343,43.197482027,,,,
"30",27.646003343,43.196482027,27.647003343,43.196982027,,,,
"31",27.646003343,43.195982027,27.647003343,43.196482027,,,,
"32",27.646003343,43.195482027,27.647003343,43.195982027,,,,
"33",27.646003343,43.194982027,27.647003343,43.195482027,,,,
"34",27.646003343,43.194482027,27.647003343,43.194982027,,,,
"35",27.646003343,43.193982027,27.647003343,43.194482027,,,,
"36",27.646003343,43.193482027,27.647003343,43.193982027,,,,
"37",27.646003343,43.192982027,27.647003343,43.193482027,,,,
"38",27.646003343,43.192482027,27.647003343,43.192982027,,,,
"39",27.646003343,43.191982027,27.647003343,43.192482027,,,,
"40",27.646003343,43.191482027,27.647003343,43.191982027,,,,
"41",27.646003343,43.190982027,27.647003343,43.191482027,,,,
"42",27.646003343,43.190482027,27.647003343,43.190982027,,,,
"43",27.646003343,43.189982027,27.647003343,43.190482027,,,,
"44",27.646003343,43.189482027,27.647003343,43.189982027,,,,
"45",27.646003343,43.188982027,27.647003343,43.189482027,,,,
"46",27.646003343,43.188482027,27.647003343,43.188982027,,,,
"47",27.646003343,43.187982027,27.647003343,43.188482027,,,,
"48",27.646003343,43.187482027,27.647003343,43.187982027,,,,
"49",27.646003343,43.186982027,27.647003343,43.187482027,,,,
"50",27.646003343,43.186482027,27.647003343,43.186982027,,,,
"51",27.646003343,43.185982027,27.647003343,43.186482027,,,,
"52",27.646003343,43.185482027,27.647003343,43.185982027,,,,
"53",27.646003343,43.184982027,27.647003343,43.185482027,,,,
"54",27.646003343,43.184482027,27.647003343,43.184982027,,,,
"55",27.646003343,43.183982027,27.647003343,43.184482027,,,,
"56",27.646003343,43.183482027,27.647003343,43.183982027,,,,
"57",27.646003343,43.182982027,27.647003343,43.183482027,,,,
"58",27.646003343,43.182482027,27.647003343,43.182982027,,,,
"59",27.646003343,43.181982027,27.647003343,43.182482027,,,,
"60",27.646003343,43.181482027,27.647003343,43.181982027,,,,
"61",27.646003343,43.180982027,27.647003343,43.181482027,,,,
"62",27.646003343,43.180482027,27.647003343,43.180982027,,,,
"63",27.646003343,43.179982027,27.647003343,43.180482027,,,,
"64",27.646003343,43.179482027,27.647003343,43.179982027,,,,
"65",27.646003343,43.178982027,27.647003343,43.179482027,,,,
"66",27.646003343,43.178482027,27.647003343,43.178982027,,,,
"67",27.647003343,43.210982027,27.648003343,43.211482027,,,,
"68",27.647003343,43.210482027,27.648003343,43.210982027,,,,
"69",27.647003343,43.209982027,27.648003343,43.210482027,,,,
"70",27.647003343,43.209482027,27.648003343,43.209982027,,,,
"71",27.647003343,43.208982027,27.648003343,43.209482027,,,,
"72",27.647003343,43.208482027,27.648003343,43.208982027,,,,
"73",27.647003343,43.207982027,27.648003343,43.208482027,,,,
"74",27.647003343,43.207482027,27.648003343,43.207982027,,,,
